Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
GP064,"Gulai ikan paya, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 72.1 g,: 148 Kal,: 10.0 g,: 9.8 g,: 5.0 g,: 3.1 g,: 103 mg,: 82 mg,: 0.7 mg,: 525 mg,: 256.0 mg,: 0.10 mg,: 0.9 mg,: 0.02 mg,,,,,,: 0.26 mg,
GP065,"Gulai ikan, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 75.7 g,: 106 Kal,: 16.5 g,: 3.3 g,: 2.5 g,: 2.0 g,: 306 mg,: 196 mg,: 4.8 mg,: 743 mg,,,,,,,: 86 mcg,,": 2,760 mcg",: 0.32 mg,: 0 mg
FP047,Gulai kambing,,,Daging,Olahan (Processed),,: 78.4 g,: 126 Kal,: 4.2 g,: 9.4 g,: 6.2 g,: 1.8 g,: 45 mg,: 73 mg,: 1.3 mg,: 302 mg,: 138.0 mg,: 0.20 mg,: 1.1 mg,: 0.01 mg,,,: 151 mcg,,,: 0.13 mg,
GP066,"Gulai keumamah, masakan",,Aceh,Ikan/Kerang/Udang dll,Olahan (Processed),"Keumamah atau katshibushi atau ikan kayu (jenis ikan: tongkol/tuna/cakalang). Ikan direbus, dikeringkan beberapa hari hingga mengeras, lalu diiris kecil-kecil. Keumamah dimasak dengan santan",: 81.4 g,: 110 Kal,: 5.9 g,: 8.2 g,: 3.2 g,: 1.3 g,: 32 mg,: 96 mg,: 1.0 mg,: 335 mg,: 121.0 mg,: 0.20 mg,: 0.9 mg,: 0.04 mg,,,,,,: 0.33 mg,
DP033,Gulai pakis,,,Sayuran,Olahan (Processed),,: 76.1 g,: 143 Kal,: 4.0 g,: 11.4 g,: 6.0 g,: 2.6 g,: 548 mg,: 124 mg,: 1.7 mg,,,,,,,: 1.4 g,: 11 mcg,,": 9,802 mcg",: 0.35 mg,: 1 mg
DP034,Gulai pliek,,Aceh,Sayuran,Olahan (Processed),"Bahan dasar terdiri dari nangka muda, daun melinjo, buah melinjo, jantung pisang, kacang panjang. Direbus dengan santan.",: 71.9 g,: 176 Kal,: 7.3 g,: 14.9 g,: 3.2 g,: 2.7 g,: 39 mg,: 54 mg,: 1.4 mg,: 257 mg,: 285.0 mg,: 0.30 mg,: 0.6 mg,,,,,,,,
GP067,"Gulai tiram, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 73.1 g,: 132 Kal,: 9.0 g,: 7.2 g,: 7.8 g,: 2.9 g,: 53 mg,: 134 mg,: 3.7 mg,: 285 mg,: 133.0 mg,: 1.10 mg,: 0.7 mg,: 0.12 mg,,,: 389 mcg,,,: 0.29 mg,
GP068,"Gurame asem manis, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 63.1 g,: 192 Kal,: 12.7 g,: 10.1 g,: 12.7 g,: 2.4 g,: 283 mg,: 169 mg,: 1.1 mg,,,,,,,: 0.0 g,: 19 mcg,,": 1,440 mcg",: 0.10 mg,: 0 mg
BP030,Gurandil,,Bandung,Umbi Berpati,Olahan (Processed),"Bahan dasar terdiri dari  tepung tapioka dan parutan kelapa. Berbentuk lonjong kecil atau bulat kecil warna-warni, ditaburi gula pasir. Diolah dengan cara direbus",: 47.5 g,: 218 Kal,: 0.5 g,: 2.5 g,: 48.5 g,: 1.0 g,: 50 mg,: 25 mg,: 2.8 mg,,,,,,,: 3.1 g,,,: 0 mcg,: 0.19 mg,: 0 mg
FP005,Ham,,,Daging,Olahan (Processed),,: 42.0 g,: 384 Kal,: 16.9 g,: 35.0 g,: 0.3 g,: 5.8 g,: 10 mg,: 136 mg,: 2.5 mg,: 112 mg,: 819.3 mg,: 0.11 mg,: 0.4 mg,: 0.95 mg,: 9.7 mg,: 0.0 g,: 0 mcg,,,: 0.70 mg,: 0 mg
JP002,Hangop,,Belanda,Susu,Olahan (Processed),Sejenis yoghurt,: 84.0 g,: 65 Kal,: 10.0 g,: 1.0 g,: 3.5 g,: 1.5 g,: 180 mg,: 190 mg,: 0.2 mg,: 126 mg,: 374.4 mg,: 0.00 mg,,: 0.43 mg,: 0.2 mg,: 0.0 g,,: 22 mcg,,: 0.03 mg,
BR011,"Hofa/Ubi hutan, segar",,,Umbi Berpati,Mentah (Raw),,: 67.9 g,: 127 Kal,: 1.2 g,: 0.5 g,: 29.5 g,: 0.9 g,: 30 mg,: 8 mg,: 0.7 mg,: 3 mg,: 4.0 mg,: 0.10 mg,: 0.2 mg,: 0.05 mg,: 0.6 mg,: 3.4 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.30 mg,: 0 mg
GP069,"Ikan asar merah, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 69.2 g,: 146 Kal,: 17.7 g,: 5.9 g,: 5.6 g,: 1.6 g,: 100 mg,: 240 mg,: 4.0 mg,: 170 mg,: 310.0 mg,: 0.30 mg,: 1.4 mg,,,,: 224 mcg,: 0 mcg,,,
GP004,"Ikan asin, kering",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 40.0 g,: 193 Kal,: 42.0 g,: 1.5 g,: 0.0 g,: 16.5 g,: 200 mg,: 300 mg,: 0.0 mg,,,,,,,: 0.0 g,,,,: 0.01 mg,: 0 mg
GR004,"Ikan bader, segar (Silver barb, fresh)",Barbonymus gonionotus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 66.0 g,: 193 Kal,: 19.0 g,: 13.0 g,: 0.0 g,: 2.0 g,: 48 mg,: 150 mg,: 0.4 mg,: 118 mg,: 264.9 mg,: 0.10 mg,: 0.2 mg,: 0.10 mg,: 4.1 mg,: 0.0 g,: 45 mcg,: 0 mcg,,: 0.01 mg,: 0 mg
GR005,"Ikan balong, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 76.5 g,: 107 Kal,: 16.5 g,: 3.9 g,: 1.5 g,: 1.5 g,: 54 mg,: 202 mg,: 2.0 mg,: 86 mg,: 253.4 mg,: 0.50 mg,: 1.0 mg,: 0.10 mg,: 2.5 mg,: 0.0 g,: 25 mcg,: 0 mcg,: 0 mcg,: 0.05 mg,: 0 mg
GR006,"Ikan bambangan, segar (Humphead Snapper, fresh)",Lutjanus sanguineus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 73.7 g,: 112 Kal,: 20.0 g,: 1.3 g,: 3.7 g,: 1.3 g,: 98 mg,: 120 mg,: 3.0 mg,: 148 mg,: 258.7 mg,: 0.00 mg,: 0.1 mg,: 0.00 mg,: 0.3 mg,: 0.0 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.07 mg,: 0 mg
GP005,"Ikan bandeng presto, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 45.3 g,: 296 Kal,: 17.1 g,: 20.3 g,: 11.3 g,: 6.0 g,": 1,422 mg",: 659 mg,: 1.9 mg,,,,,,,: 0.0 g,: 6 mcg,: 0 mcg,: 400 mcg,: 0.14 mg,: 69 mg
GR007,"Ikan bandeng, segar (Milkfish, raw)",Chanos chanos,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 74.0 g,: 123 Kal,: 20.0 g,: 4.8 g,: 0.0 g,: 1.2 g,: 20 mg,: 150 mg,: 2.0 mg,: 67 mg,: 271.1 mg,: 0.00 mg,: 0.9 mg,: 0.10 mg,: 6.0 mg,: 0.0 g,: 45 mcg,: 21 mcg,,: 0.05 mg,: 0 mg
GR008,"Ikan banjar, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 73.5 g,: 111 Kal,: 19.4 g,: 0.9 g,: 4.8 g,: 1.4 g,: 68 mg,: 278 mg,: 7.3 mg,: 99 mg,: 338.7 mg,: 0.20 mg,: 0.6 mg,: 0.20 mg,: 7.3 mg,: 0.0 g,: 0 mcg,: 62 mcg,: 0 mcg,: 0.03 mg,: 0 mg
GR009,"Ikan baronang, segar (Golden-lined spinefoot, fresh)",Siganus lineatus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 80.0 g,: 78 Kal,: 14.5 g,: 0.6 g,: 3.7 g,: 1.2 g,: 26 mg,: 521 mg,: 3.8 mg,: 26 mg,: 692.0 mg,: 4.70 mg,: 4.1 mg,: 0.04 mg,: 3.0 mg,: 0.0 g,: 732 mcg,: 0 mcg,,: 0.20 mg,: 0 mg
GR010,"Ikan batung, segar (Indonesian-Shortfin Eel)",Anguilla bicolor,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 75.7 g,: 115 Kal,: 14.5 g,: 4.6 g,: 4.2 g,: 1.1 g,,: 207 mg,: 0.0 mg,: 42 mg,: 361.0 mg,: 0.20 mg,: 0.9 mg,: 0.04 mg,: 1.1 mg,: 0.0 g,,: 0 mcg,,: 1.20 mg,
GP006,"Ikan baung bakar (Asian river catfish, fresh)",Hemibagrus nemurus,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 69.8 g,: 144 Kal,: 17.8 g,: 5.8 g,: 5.2 g,: 1.4 g,: 18 mg,: 169 mg,: 0.0 mg,: 168 mg,: 236.0 mg,: 0.10 mg,: 0.7 mg,: 0.00 mg,: 1.3 mg,,,,,: 0.00 mg,
GR011,"Ikan baung, segar (Asian river catfish, fresh)",Hemibagrus nemurus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 74.9 g,: 123 Kal,: 15.1 g,: 5.5 g,: 3.3 g,: 1.2 g,: 5 mg,: 146 mg,: 1.3 mg,: 32 mg,: 349.0 mg,: 0.10 mg,: 0.7 mg,: 0.03 mg,: 1.2 mg,: 0.0 g,,: 0 mcg,,: 0.20 mg,
GR012,"Ikan bawal, segar (Silver Pomfret, fresh)",Pampus argenteus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 78.0 g,: 91 Kal,: 19.0 g,: 1.7 g,: 0.0 g,: 1.3 g,: 20 mg,: 150 mg,: 2.0 mg,: 129 mg,: 233.3 mg,: 0.10 mg,: 0.3 mg,: 0.10 mg,: 1.8 mg,: 0.0 g,: 45 mcg,: 0 mcg,,: 0.05 mg,: 0 mg
GP007,"Ikan Belida bakar (Indonesian featherback, fresh)",Chitala borneensis,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 68.2 g,: 128 Kal,: 18.0 g,: 3.0 g,: 7.2 g,: 3.6 g,: 58 mg,: 134 mg,: 0.0 mg,: 293 mg,: 198.0 mg,: 0.10 mg,: 0.4 mg,: 0.17 mg,: 1.5 mg,: 0.0 g,,: 0 mcg,,: 1.80 mg,
GR013,"Ikan Belida, segar (Indonesian featherback, fresh)",Chitala hypselonotus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 79.2 g,: 80 Kal,: 14.7 g,: 1.4 g,: 2.2 g,: 2.3 g,: 303 mg,: 315 mg,: 1.3 mg,: 41 mg,: 356.0 mg,: 0.00 mg,: 0.8 mg,: 0.14 mg,: 1.4 mg,: 0.0 g,,: 0 mcg,,: 1.20 mg,
GR014,"Ikan beunteur, segar (Spotted Barb, fresh)",Barbodes binotatus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 70.0 g,: 109 Kal,: 17.0 g,: 4.0 g,: 0.0 g,: 9.0 g,: 500 mg,: 500 mg,: 1.0 mg,: 109 mg,: 323.5 mg,: 0.60 mg,: 1.3 mg,: 0.10 mg,: 2.6 mg,: 0.0 g,: 45 mcg,,,: 0.05 mg,: 0 mg
GR015,"Ikan biawan, segar (Kissing goorami, fresh)",Helostoma temmincki,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 79.1 g,: 90 Kal,: 14.9 g,: 2.5 g,: 2.1 g,: 1.4 g,: 125 mg,: 265 mg,: 1.0 mg,: 35 mg,: 207.0 mg,: 0.40 mg,: 0.6 mg,: 0.03 mg,: 2.9 mg,: 0.0 g,,,,: 0.36 mg,
GR016,"Ikan bili, segar (Minnows, fresh)",Mystacoleucus padangensis,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 68.3 g,: 88 Kal,: 14.2 g,: 0.7 g,: 6.2 g,: 10.6 g,: 27 mg,": 1,760 mg",: 1.5 mg,: 217 mg,: 202.0 mg,: 0.00 mg,: 4.1 mg,: 0.09 mg,: 2.7 mg,: 0.0 g,,: 0 mcg,,: 0.72 mg,
GR017,"Ikan bubara, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 75.5 g,: 100 Kal,: 14.7 g,: 2.4 g,: 4.9 g,: 1.6 g,: 90 mg,: 90 mg,: 0.4 mg,: 390 mg,: 390.0 mg,: 0.70 mg,: 0.8 mg,,,,,,,,
GR018,"Ikan bulan-bulan, segar (Indo-Pacifik Tarpon, fresh)",Megalops cyprinoides,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 66.7 g,: 134 Kal,: 25.5 g,: 1.3 g,: 5.0 g,: 1.5 g,: 29 mg,: 29 mg,: 0.5 mg,: 197 mg,: 489.0 mg,: 0.10 mg,: 0.5 mg,: 0.02 mg,: 0.8 mg,,,,,: 0.30 mg,
GP008,"Ikan cakalang asap, mentah (Skipjack tuna, fish,smoked, raw)",Katsuwonus pelamys,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 56.9 g,: 204 Kal,: 34.2 g,: 5.6 g,: 1.9 g,: 1.4 g,: 14 mg,: 399 mg,: 1.3 mg,: 176 mg,: 588.0 mg,: 0.30 mg,: 0.7 mg,: 0.07 mg,,,": 1,546 mcg",,,: 0.53 mg,
GP009,"Ikan cakalang asin, mentah (Skipjack tuna,fish, salted, raw)",Katsuwonus plelamys,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 41.7 g,: 198 Kal,: 36.5 g,: 2.2 g,: 5.5 g,: 14.1 g,: 236 mg,: 346 mg,: 3.7 mg,": 4,304 mg",: 302.1 mg,,,,,: 0.0 g,: 0 mcg,,: 0 mcg,: 0.06 mg,: 0 mg
GR020,"Ikan cakalang, hati, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 73.4 g,: 120 Kal,: 11.3 g,: 3.9 g,: 10.0 g,: 1.4 g,: 30 mg,: 30 mg,: 0.9 mg,: 420 mg,: 280.0 mg,: 1.60 mg,: 4.3 mg,,: 0.2 mg,,,,,,
GR021,"Ikan cakalang, jantung, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 76.3 g,: 116 Kal,: 11.2 g,: 1.2 g,: 10.2 g,: 1.1 g,: 10 mg,: 40 mg,: 3.4 mg,: 360 mg,: 250.0 mg,: 0.50 mg,: 1.9 mg,,: 0.1 mg,,: 908 mcg,,,,: 0 mg
GR022,"Ikan cakalang, perut, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 79.1 g,: 86 Kal,: 10.2 g,: 1.1 g,: 8.7 g,: 0.9 g,: 20 mg,: 110 mg,: 2.1 mg,: 230 mg,: 210.0 mg,: 0.30 mg,: 9.3 mg,,: 0.3 mg,,,,,: 0.24 mg,
GR019,"Ikan cakalang, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 73.0 g,: 107 Kal,: 19.6 g,: 0.7 g,: 5.5 g,: 1.2 g,: 23 mg,: 242 mg,: 2.9 mg,: 66 mg,: 239.0 mg,: 0.20 mg,: 0.6 mg,: 0.05 mg,: 21.7 mg,: 0.0 g,: 386 mcg,: 0 mcg,,: 0.17 mg,: 0 mg
GP010,"Ikan calo/ peda, mentah",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 71.3 g,: 81 Kal,: 11.4 g,: 1.9 g,: 3.8 g,: 11.6 g,: 743 mg,: 174 mg,: 22.6 mg,,,,,,,: 0.0 g,: 15 mcg,,: 0 mcg,: 0.00 mg,: 0 mg
GR023,"Ikan daun, segar (Leaffish, fresh)",Nandus mercatus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 78.6 g,: 101 Kal,: 11.5 g,: 4.1 g,: 4.6 g,: 1.2 g,: 80 mg,: 210 mg,: 0.8 mg,: 120 mg,: 270.0 mg,: 0.10 mg,: 0.9 mg,: 0.07 mg,: 0.1 mg,: 0.0 g,: 0 mcg,,,: 0.08 mg,: 0 mg
GR024,"Ikan ekor kuning, segar (Yellowtail, fish, fresh)",Caesio spp.,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 74.1 g,: 108 Kal,: 22.3 g,: 1.2 g,: 2.1 g,: 0.3 g,: 30 mg,: 220 mg,: 0.5 mg,: 50 mg,: 230.0 mg,: 0.10 mg,: 0.6 mg,: 0.10 mg,: 0.2 mg,: 0.0 g,: 40 mcg,: 29 mcg,,: 0.00 mg,
GP011,"Ikan Gabus asap, mentah (Asian snakehead, fish, smoked)",Channa striata,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 26.4 g,: 261 Kal,: 38.1 g,: 2.3 g,: 21.9 g,: 11.3 g,": 2,510 mg",": 1,840 mg",: 2.9 mg,: 320 mg,: 410.0 mg,: 0.40 mg,: 0.8 mg,: 0.10 mg,: 14.5 mg,: 0.0 g,: 114 mcg,,,: 0.10 mg,
GP012,"Ikan Gabus, kering (Asian snakehead, fish, dried)",Channa striata,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 24.0 g,: 268 Kal,: 58.0 g,: 4.0 g,: 0.0 g,: 14.0 g,: 15 mg,: 100 mg,: 0.1 mg,,,,,,,: 0.0 g,: 30 mcg,,,: 0.10 mg,: 0 mg
GR025,"Ikan gabus, segar (Asian snakehead, fresh)",Channa striata,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 79.6 g,: 80 Kal,: 16.2 g,: 0.5 g,: 2.6 g,: 1.1 g,: 170 mg,: 139 mg,: 0.1 mg,: 65 mg,: 254.0 mg,: 0.30 mg,: 0.4 mg,: 0.20 mg,: 0.1 mg,: 0.0 g,: 335 mcg,,,: 0.40 mg,
GP013,"Ikan gete, goreng",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 44.7 g,: 267 Kal,: 23.1 g,: 19.4 g,: 0.2 g,: 12.6 g,": 2,340 mg",": 1,240 mg",: 0.8 mg,: 590 mg,: 440.0 mg,: 0.10 mg,: 1.9 mg,,: 0.2 mg,,,,,,
GR026,"Ikan heu, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 75.6 g,: 81 Kal,: 10.0 g,: 1.6 g,: 6.6 g,: 6.2 g,": 1,910 mg",: 990 mg,: 2.1 mg,: 240 mg,: 210.0 mg,: 0.10 mg,: 2.7 mg,,: 0.2 mg,,,,,: 0.87 mg,
GR027,"Ikan hitam, segar (Black Sharkminnow, fresh)",Labeo chrysophekadion,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 78.2 g,: 101 Kal,: 10.3 g,: 3.7 g,: 6.7 g,: 1.1 g,: 50 mg,: 140 mg,: 0.4 mg,: 70 mg,: 210.0 mg,,: 0.4 mg,: 0.10 mg,: 0.1 mg,: 0.0 g,: 67 mcg,,,: 0.00 mg,
GP014,"Ikan hiu, kering (Shark, fish, dried)",Carcharinus falciformis,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 23.1 g,: 298 Kal,: 46.3 g,: 3.6 g,: 20.2 g,: 6.8 g,: 335 mg,: 846 mg,: 2.5 mg,: 957 mg,": 1,457.0 mg",: 0.50 mg,: 2.0 mg,: 0.11 mg,: 22.5 mg,,: 661 mcg,,,: 0.84 mg,
GR028,"Ikan hiu, segar (Fish, shark, fresh)",Carcharhinus spp.,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 85.7 g,: 57 Kal,: 10.7 g,: 0.3 g,: 2.2 g,: 1.1 g,: 75 mg,: 206 mg,: 2.0 mg,,,: 0.02 mg,,,,: 0.0 g,,,: 0 mcg,: 0.05 mg,: 0 mg
GR029,"Ikan kacangan, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 80.7 g,: 77 Kal,: 15.6 g,: 0.9 g,: 1.6 g,: 1.2 g,: 94 mg,: 170 mg,: 1.7 mg,,,,,,,: 0.0 g,: 18 mcg,,: 0 mcg,: 0.07 mg,: 0 mg
GR030,"Ikan kakap, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 77.0 g,: 92 Kal,: 20.0 g,: 0.7 g,: 0.0 g,: 2.3 g,: 20 mg,: 200 mg,: 1.0 mg,,,,,,,: 0.0 g,: 9 mcg,,,: 0.05 mg,: 0 mg
GR031,"Ikan kakatua, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 79.7 g,: 82 Kal,: 11.4 g,: 1.2 g,: 6.4 g,: 1.3 g,: 20 mg,: 160 mg,: 0.4 mg,: 90 mg,: 300.0 mg,: 0.10 mg,: 0.3 mg,,: 0.2 mg,,: 18 mcg,,,,
GR032,"Ikan kalaban, segar (Minnows, fresh)",Osteochilus melanopleura,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 80.3 g,: 77 Kal,: 16.4 g,: 0.7 g,: 1.3 g,: 1.3 g,: 182 mg,: 248 mg,: 0.9 mg,: 40 mg,: 334.0 mg,: 0.70 mg,: 0.8 mg,: 0.15 mg,: 1.9 mg,: 0.0 g,,,,: 0.16 mg,
GR033,"Ikan kamera (kakap merah), segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 78.5 g,: 86 Kal,: 19.7 g,: 0.8 g,: 0.0 g,: 1.3 g,: 50 mg,: 170 mg,: 0.3 mg,: 90 mg,: 290.0 mg,: 0.30 mg,: 0.1 mg,: 0.08 mg,: 0.1 mg,: 0.0 g,: 26 mcg,,,,
GR034,"Ikan kapar, segar (Malay Combtail, fresh)",Belontia hasselti,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 74.2 g,: 132 Kal,: 17.0 g,: 6.7 g,: 0.8 g,: 1.3 g,: 151 mg,: 272 mg,: 1.2 mg,: 78 mg,: 229.0 mg,: 0.90 mg,: 0.7 mg,: 0.03 mg,,: 0.0 g,,,,: 0.07 mg,
GP015,"Ikan katombo, asin (Pargy, fish, salted)",Lethrinus spp.,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 44.7 g,: 162 Kal,: 31.7 g,: 2.8 g,: 0.3 g,: 15.5 g,: 279 mg,: 609 mg,: 4.6 mg,": 4,393 mg",: 342.2 mg,: 2.80 mg,,,,: 0.0 g,: 0 mcg,,: 0 mcg,: 0.09 mg,: 0 mg
GR035,"Ikan kawalinya, segar (Indian mackerel, fresh)",Rastrelliger kanagurta,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 76.1 g,: 110 Kal,: 12.6 g,: 4.2 g,: 5.4 g,: 1.7 g,: 80 mg,: 300 mg,: 1.5 mg,: 340 mg,: 300.0 mg,: 0.20 mg,: 1.4 mg,,: 0.2 mg,,: 146 mcg,,,,
GP016,"Ikan kayu, kering",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 23.1 g,: 302 Kal,: 70.7 g,: 1.9 g,: 0.4 g,: 3.9 g,: 313 mg,: 22 mg,: 4.1 mg,: 345 mg,": 1,045.0 mg",,: 1.8 mg,: 0.04 mg,: 20.0 mg,: 0.0 g,,,,: 1.40 mg,
GR036,"Ikan keru-keru, segar (Puffers, fresh)",Pao leiurus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 77.2 g,: 93 Kal,: 16.5 g,: 2.1 g,: 0.8 g,: 3.4 g,: 65 mg,: 217 mg,: 2.4 mg,: 137 mg,: 255.3 mg,: 0.34 mg,: 0.7 mg,: 0.09 mg,: 1.6 mg,: 0.0 g,: 0 mcg,,: 0 mcg,: 0.01 mg,: 0 mg
GR037,"Ikan kima, segar (Clam, shell, fresh)",Tridacna�spp,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 82.1 g,: 70 Kal,: 10.8 g,: 0.7 g,: 5.2 g,: 1.2 g,: 53 mg,: 72 mg,: 2.0 mg,: 342 mg,: 101.0 mg,: 0.50 mg,: 0.5 mg,: 0.05 mg,: 5.8 mg,,: 401 mcg,,,: 0.22 mg,
GP017,Ikan Lais bakar,,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 69.4 g,: 147 Kal,: 17.5 g,: 6.5 g,: 5.4 g,: 1.2 g,: 54 mg,: 194 mg,: 0.1 mg,: 142 mg,: 209.0 mg,,: 0.5 mg,,,,,,,,
GR038,"Ikan lais, segar (Sheatfish, fresh)",Kryptopterus spp.,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 65.0 g,: 161 Kal,: 11.9 g,: 11.5 g,: 2.4 g,: 9.2 g,: 70 mg,: 237 mg,: 0.0 mg,,,,,,,: 0.0 g,: 0 mcg,,: 0 mcg,: 0.05 mg,: 0 mg
GR039,"Ikan layang, segar (Indian scad, fresh)",Decapterus russelli,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 74.0 g,: 109 Kal,: 22.0 g,: 1.7 g,: 0.0 g,: 2.3 g,: 50 mg,: 150 mg,: 2.0 mg,,,,,,,: 0.0 g,: 45 mcg,: 0 mcg,,: 0.05 mg,: 0 mg
GR040,"Ikan layur, segar (Hairtail, fresh)",Tichiurus leptorus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 80.1 g,: 82 Kal,: 18.0 g,: 1.0 g,: 0.4 g,: 0.5 g,: 48 mg,: 229 mg,: 2.2 mg,,,,,,,: 0.0 g,: 4 mcg,,: 0 mcg,: 0.04 mg,: 0 mg
GR041,"Ikan lehoma, segar (Indian mackerel, fresh)",Rastrelliger kanagurta,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 77.6 g,: 90 Kal,: 20.4 g,: 0.9 g,: 0.0 g,: 1.1 g,: 88 mg,: 270 mg,: 0.7 mg,: 56 mg,: 281.0 mg,: 0.30 mg,: 0.9 mg,: 0.03 mg,: 0.2 mg,,": 1,047 mcg",,,: 0.32 mg,
GR042,"Ikan lemuru, segar (Bali sardinella, fresh)",Sardinella lemuru,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 76.0 g,: 112 Kal,: 20.0 g,: 3.0 g,: 0.0 g,: 1.0 g,: 20 mg,: 100 mg,: 1.0 mg,,,,,,,: 0.0 g,: 30 mcg,: 0 mcg,,: 0.05 mg,: 0 mg
GR043,"Ikan lidah, segar (Flatfishes, fresh)",Cynoglossus spp.,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 78.3 g,: 104 Kal,: 15.6 g,: 3.2 g,: 2.0 g,: 0.9 g,: 30 mg,: 143 mg,: 2.0 mg,,,,,,,: 0.0 g,: 33 mcg,,: 0 mcg,: 0.03 mg,: 0 mg
GP018,"Ikan lomak asin, mentah",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 21.6 g,: 258 Kal,: 40.3 g,: 2.3 g,: 18.9 g,: 16.9 g,: 140 mg,: 279 mg,: 2.3 mg,": 6,227 mg",: 485.1 mg,: 2.30 mg,,: 0.30 mg,: 6.0 mg,: 0.0 g,,,,: 0.10 mg,
GR044,"Ikan malalugis, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 75.6 g,: 99 Kal,: 20.6 g,: 1.4 g,: 0.9 g,: 1.5 g,: 164 mg,: 330 mg,: 0.5 mg,: 76 mg,: 282.0 mg,: 0.20 mg,: 0.9 mg,: 0.02 mg,: 0.5 mg,,: 661 mcg,,,: 0.30 mg,
